SUMLEV,Geo,CED_V0,CED_V1,CED_V2,CED_V3
SL010,34,46722980,22896602,23826378,96.0977031422904
SL030,3401,8384408,4133898,4250510,97.2565174531997
SL030,3402,1308728,645498,663230,97.3264176831567
SL030,3403,1028244,490738,537506,91.2990738708033
SL030,3404,1128908,561803,567105,99.0650761322859
SL030,3405,2127685,1054032,1073653,98.1725007986752
SL030,3406,580229,281564,298665,94.2741867979174
SL030,3407,2409164,1186363,1222801,97.0201201994437
SL030,3408,2026807,1014199,1012608,100.157119043105
SL030,3409,7600065,3730326,3869739,96.3973539300712
SL030,3410,4963703,2446383,2517320,97.1820428074301
SL030,3411,1072863,531255,541608,98.0884698896619
SL030,3412,2701743,1300609,1401134,92.8254542392091
SL030,3413,6578079,3147872,3430207,91.7691556223866
SL030,3414,1478509,740143,738366,100.240666552902
SL030,3415,647554,320469,327085,97.9772841921825
SL030,3416,2199088,1068750,1130338,94.5513642821882
SL030,3417,315675,155758,159917,97.3992758743598
SL030,3418,85144,43177,41967,102.88321776634
SL030,3419,86384,43765,42619,102.68894155189
SL040,340104,709340,361319,348021,103.821033788191
SL040,340111,1238714,611357,627357,97.4496180005961
SL040,340114,785240,385085,400155,96.2339593407555
SL040,340118,912075,449318,462757,97.0958840168814
SL040,340121,519932,257713,262219,98.2815890534248
SL040,340123,638099,315549,322550,97.8294838009611
SL040,340129,1641121,804858,836263,96.244602475537
SL040,340141,1939887,948699,991188,95.7133258271892
SL040,340222,219345,110599,108746,101.703970720762
SL040,340244,134572,68060,66512,102.327399566995
SL040,340250,954811,466839,487972,95.6692187256646
SL040,340333,1028244,490738,537506,91.2990738708033
SL040,340407,1128908,561803,567105,99.0650761322859
SL040,340535,1109175,552555,556620,99.2696992562251
SL040,340538,1018510,501477,517033,96.9912945595349
SL040,340639,580229,281564,298665,94.2741867979174
SL040,340705,158498,79538,78960,100.73201621074
SL040,340709,357070,178337,178733,99.7784404670654
SL040,340724,463746,225646,238100,94.7694246115078
SL040,340734,162035,80323,81712,98.3001272762875
SL040,340737,331473,161065,170408,94.5172761842167
SL040,340740,153342,76979,76363,100.806673388945
SL040,340742,88600,44800,43800,102.283105022831
SL040,340747,519851,253356,266495,95.0697011200961
SL040,340749,174549,86319,88230,97.8340700442026
SL040,340802,388786,194158,194628,99.7585136773743
SL040,340813,499100,246656,252444,97.7072142732646
SL040,340816,197222,98999,98223,100.790038992904
SL040,340819,254308,128854,125454,102.710156710826
SL040,340845,687391,345532,341859,101.074419570642
SL040,340908,5609350,2733466,2875884,95.0478531122952
SL040,340917,761947,380690,381257,99.8512814190953
SL040,340925,432866,219509,213357,102.883430119471
SL040,340943,795902,396661,399241,99.3537737857585
SL040,341003,1838819,911097,927722,98.2079760962875
SL040,341012,576898,286359,290539,98.5612946970975
SL040,341046,2547986,1248927,1299059,96.1408989122126
SL040,341106,676376,334636,341740,97.9212266635454
SL040,341110,396487,196619,199868,98.3744271219005
SL040,341215,1119351,536637,582714,92.0926904107332
SL040,341227,331327,160647,170680,94.121748300914
SL040,341232,309293,148426,160867,92.2662820839575
SL040,341236,941772,454899,486873,93.4327843195248
SL040,341328,6578079,3147872,3430207,91.7691556223866
SL040,341430,1478509,740143,738366,100.240666552902
SL040,341531,647554,320469,327085,97.9772841921825
SL040,341601,328868,162175,166693,97.2896282387383
SL040,341620,720592,351696,368896,95.337439278279
SL040,341648,1149628,554879,594749,93.2963317298558
SL040,341726,315675,155758,159917,97.3992758743598
SL040,341851,85144,43177,41967,102.88321776634
SL040,341952,86384,43765,42619,102.68894155189
SL050,34160101001,2887,1507,1380,109.202898550725
SL050,34160101002,10286,5075,5211,97.3901362502399
SL050,34160101003,1483,774,709,109.16784203103
SL050,34160101004,1831,912,919,99.2383025027203
SL050,34160101006,219,115,104,110.576923076923
SL050,34160101008,982,535,447,119.686800894855
SL050,34160101009,1643,833,810,102.83950617284
SL050,34160101010,2967,1503,1464,102.66393442623
SL050,34160101011,286,159,127,125.196850393701
SL050,34160101013,883,493,390,126.410256410256
SL050,34160101014,443,238,205,116.09756097561
SL050,34160101016,511,303,208,145.673076923077
SL050,34160101017,1040,548,492,111.382113821138
SL050,34160101018,1753,952,801,118.851435705368
SL050,34160101019,181,96,85,112.941176470588
