SUMLEV,Geo,CED_V11,CED_V12,CED_V13,CED_V14,CED_V15,CED_V16,CED_V17
SL010,34,46722980,41988289,20522724,21465565,4734691,2373878,2360813
SL030,3401,8384408,7763012,3818310,3944702,621396,315588,305808
SL030,3402,1308728,1172036,576344,595692,136692,69154,67538
SL030,3403,1028244,988160,472077,516083,40084,18661,21423
SL030,3404,1128908,936047,465206,470841,192861,96597,96264
SL030,3405,2127685,1867494,924342,943152,260191,129690,130501
SL030,3406,580229,549571,266858,282713,30658,14706,15952
SL030,3407,2409164,2285589,1125515,1160074,123575,60848,62727
SL030,3408,2026807,1862987,930554,932433,163820,83645,80175
SL030,3409,7600065,6517966,3175354,3342612,1082099,554972,527127
SL030,3410,4963703,4298782,2110735,2188047,664921,335648,329273
SL030,3411,1072863,1041216,515692,525524,31647,15563,16084
SL030,3412,2701743,2609185,1255711,1353474,92558,44898,47660
SL030,3413,6578079,5751623,2756689,2994934,826456,391183,435273
SL030,3414,1478509,1276077,630144,645933,202432,109999,92433
SL030,3415,647554,588772,290634,298138,58782,29835,28947
SL030,3416,2199088,2047569,993197,1054372,151519,75553,75966
SL030,3417,315675,280018,138089,141929,35657,17669,17988
SL030,3418,85144,79302,40241,39061,5842,2936,2906
SL030,3419,86384,72883,37032,35851,13501,6733,6768
SL040,340104,709340,569581,283021,286560,139759,78298,61461
SL040,340111,1238714,1196162,590160,606002,42552,21197,21355
SL040,340114,785240,764639,375025,389614,20601,10060,10541
SL040,340118,912075,854609,419236,435373,57466,30082,27384
SL040,340121,519932,477646,237165,240481,42286,20548,21738
SL040,340123,638099,622973,307336,315637,15126,8213,6913
SL040,340129,1641121,1402809,688397,714412,238312,116461,121851
SL040,340141,1939887,1874593,917970,956623,65294,30729,34565
SL040,340222,219345,196155,98375,97780,23190,12224,10966
SL040,340244,134572,121049,61078,59971,13523,6982,6541
SL040,340250,954811,854832,416891,437941,99979,49948,50031
SL040,340333,1028244,988160,472077,516083,40084,18661,21423
SL040,340407,1128908,936047,465206,470841,192861,96597,96264
SL040,340535,1109175,977697,486674,491023,131478,65881,65597
SL040,340538,1018510,889797,437668,452129,128713,63809,64904
SL040,340639,580229,549571,266858,282713,30658,14706,15952
SL040,340705,158498,149357,75112,74245,9141,4426,4715
SL040,340709,357070,332153,165835,166318,24917,12502,12415
SL040,340724,463746,445253,216577,228676,18493,9069,9424
SL040,340734,162035,155747,77221,78526,6288,3102,3186
SL040,340737,331473,319137,155293,163844,12336,5772,6564
SL040,340740,153342,137202,69070,68132,16140,7909,8231
SL040,340742,88600,81627,41143,40484,6973,3657,3316
SL040,340747,519851,496292,241721,254571,23559,11635,11924
SL040,340749,174549,168821,83543,85278,5728,2776,2952
SL040,340802,388786,365025,181316,183709,23761,12842,10919
SL040,340813,499100,470226,232046,238180,28874,14610,14264
SL040,340816,197222,177516,88927,88589,19706,10072,9634
SL040,340819,254308,223301,113182,110119,31007,15672,15335
SL040,340845,687391,626919,315083,311836,60472,30449,30023
SL040,340908,5609350,4865569,2355530,2510039,743781,377936,365845
SL040,340917,761947,617227,305896,311331,144720,74794,69926
SL040,340925,432866,360212,179161,181051,72654,40348,32306
SL040,340943,795902,674958,334767,340191,120944,61894,59050
SL040,341003,1838819,1501917,740840,761077,336902,170257,166645
SL040,341012,576898,495555,245972,249583,81343,40387,40956
SL040,341046,2547986,2301310,1123923,1177387,246676,125004,121672
SL040,341106,676376,657566,325636,331930,18810,9000,9810
SL040,341110,396487,383650,190056,193594,12837,6563,6274
SL040,341215,1119351,1084868,520385,564483,34483,16252,18231
SL040,341227,331327,317929,153778,164151,13398,6869,6529
SL040,341232,309293,296029,142006,154023,13264,6420,6844
SL040,341236,941772,910359,439542,470817,31413,15357,16056
SL040,341328,6578079,5751623,2756689,2994934,826456,391183,435273
SL040,341430,1478509,1276077,630144,645933,202432,109999,92433
SL040,341531,647554,588772,290634,298138,58782,29835,28947
SL040,341601,328868,300597,147748,152849,28271,14427,13844
SL040,341620,720592,669358,326270,343088,51234,25426,25808
SL040,341648,1149628,1077614,519179,558435,72014,35700,36314
SL040,341726,315675,280018,138089,141929,35657,17669,17988
SL040,341851,85144,79302,40241,39061,5842,2936,2906
SL040,341952,86384,72883,37032,35851,13501,6733,6768
SL050,34160101001,2887,2623,1366,1257,264,141,123
SL050,34160101002,10286,9651,4757,4894,635,318,317
SL050,34160101003,1483,1459,762,697,24,12,12
SL050,34160101004,1831,1732,866,866,99,46,53
SL050,34160101006,219,210,109,101,9,6,3
SL050,34160101008,982,954,517,437,28,18,10
SL050,34160101009,1643,1531,777,754,112,56,56
SL050,34160101010,2967,2927,1485,1442,40,18,22
SL050,34160101011,286,243,134,109,43,25,18
SL050,34160101013,883,850,473,377,33,20,13
SL050,34160101014,443,430,231,199,13,7,6
SL050,34160101016,511,485,291,194,26,12,14
SL050,34160101017,1040,975,517,458,65,31,34
SL050,34160101018,1753,1714,930,784,39,22,17
SL050,34160101019,181,176,94,82,5,2,3
SL050,34160101020,381,364,212,152,17,10,7
SL050,34160101021,603,582,303,279,21,13,8
SL050,34160101022,1025,942,465,477,83,48,35
SL050,34160101023,348,309,156,153,39,14,25
SL050,34160101027,517,501,276,225,16,5,11
SL050,34160101028,1445,1296,678,618,149,81,68
SL050,34160101030,158,157,88,69,1,0,1
SL050,34160101031,1505,1360,701,659,145,75,70
SL050,34160101032,667,570,299,271,97,42,55
SL050,34160101033,857,777,401,376,80,40,40
SL050,34160101034,196,177,89,88,19,11,8
SL050,34160101036,18205,17326,8574,8752,879,405,474
SL050,34160101037,717,688,387,301,29,12,17
SL050,34160101039,229,214,106,108,15,7,8
SL050,34160101041,209,174,93,81,35,24,11
SL050,34160101042,1162,1110,572,538,52,29,23
SL050,34160101043,3368,3000,1546,1454,368,172,196
SL050,34160101044,257,249,150,99,8,2,6
SL050,34160101046,780,757,430,327,23,17,6
SL050,34160101047,1374,1231,668,563,143,77,66
SL050,34160101049,151,144,83,61,7,4,3
SL050,34160101051,5018,4480,2226,2254,538,271,267
SL050,34160101052,319,299,146,153,20,9,11
SL050,34160101053,709,690,382,308,19,8,11
SL050,34160101054,1336,1237,637,600,99,51,48
SL050,34160101055,991,927,508,419,64,38,26
SL050,34160101056,229,227,128,99,2,1,1
SL050,34160101057,299,266,135,131,33,15,18
SL050,34160101058,1869,1715,911,804,154,81,73
SL050,34160101059,249176,225912,109437,116475,23264,11921,11343
SL050,34160101060,269,233,117,116,36,22,14
SL050,34160101061,186,184,102,82,2,2,0
SL050,34160101062,400,364,197,167,36,17,19
SL050,34160101063,2313,2234,1158,1076,79,35,44
SL050,34160101901,3333,3109,1610,1499,224,111,113
SL050,34160101902,872,832,468,364,40,23,17
SL050,34080202001,757,709,334,375,48,29,19
SL050,34080202002,529,478,271,207,51,29,22
SL050,34080202003,173050,164696,79889,84807,8354,4724,3630
SL050,34080202004,693,670,345,325,23,12,11
SL050,34080202005,650,602,315,287,48,24,24
SL050,34080202006,655,650,354,296,5,2,3
SL050,34080202007,1199,1128,601,527,71,38,33
SL050,34080202008,1405,1366,705,661,39,19,20
SL050,34080202009,24537,23488,11687,11801,1049,528,521
SL050,34080202010,2275,2126,1104,1022,149,79,70
SL050,34080202011,638,623,333,290,15,8,7
SL050,34080202012,2360,2219,1129,1090,141,76,65
SL050,34080202013,150,128,73,55,22,12,10
SL050,34080202014,409,398,202,196,11,6,5
SL050,34080202015,1864,1727,880,847,137,61,76
SL050,34080202016,610,606,325,281,4,1,3
SL050,34080202017,873,858,455,403,15,7,8
SL050,34080202018,1057,901,448,453,156,90,66
SL050,34080202019,2837,2751,1409,1342,86,38,48
SL050,34080202020,508,474,256,218,34,23,11
