SUMLEV,Geo,CED_V65,CED_V71,CED_V68,CED_V74,CED_V66,CED_V72,CED_V69,CED_V75,CED_V64,CED_V67,CED_V70,CED_V73,CED_V63
SL010,34,19555283,249191,967441,2124687,20295237,236365,1170328,2124448,39850520,2137769,485556,4249135,46722980
SL030,3401,3716921,28686,101389,286902,3823097,27603,121605,278205,7540018,222994,56289,565107,8384408
SL030,3402,554395,8260,21949,60894,570273,7942,25419,59596,1124668,47368,16202,120490,1308728
SL030,3403,455458,1613,16619,17048,494199,1509,21884,19914,949657,38503,3122,36962,1028244
SL030,3404,430380,9310,34826,87287,429561,8863,41280,87401,859941,76106,18173,174688,1128908
SL030,3405,853147,8531,71195,121159,862942,8032,80210,122469,1716089,151405,16563,243628,2127685
SL030,3406,258008,1269,8850,13437,270679,1162,12034,14790,528687,20884,2431,28227,580229
SL030,3407,1095739,6605,29776,54243,1120935,6228,39139,56499,2216674,68915,12833,110742,2409164
SL030,3408,905329,10928,25225,72717,902044,10425,30389,69750,1807373,55614,21353,142467,2026807
SL030,3409,2981556,61601,193798,493371,3117948,58370,224664,468757,6099504,418462,119971,962128,7600065
SL030,3410,2010865,32772,99870,302876,2073646,30869,114401,298404,4084511,214271,63641,601280,4963703
SL030,3411,508855,1553,6837,14010,516498,1450,9026,14634,1025353,15863,3003,28644,1072863
SL030,3412,1194608,2448,61103,42450,1280413,2311,73061,45349,2475021,134164,4759,87799,2701743
SL030,3413,2549536,44287,207153,346896,2722830,42079,272104,393194,5272366,479257,86366,740090,6578079
SL030,3414,604153,15212,25991,94787,618193,14330,27740,78103,1222346,53731,29542,172890,1478509
SL030,3415,272357,3239,18277,26596,276446,3214,21692,25733,548803,39969,6453,52329,647554
SL030,3416,962530,8343,30667,67210,1013824,7861,40548,68105,1976354,71215,16204,135315,2199088
SL030,3417,132080,2410,6009,15259,134941,2332,6988,15656,267021,12997,4742,30915,315675
SL030,3418,37092,541,3149,2395,36029,436,3032,2470,73121,6181,977,4865,85144
SL030,3419,32274,1583,4758,5150,30739,1349,5112,5419,63013,9870,2932,10569,86384
SL040,340104,270861,9290,12160,69008,273693,9064,12867,52397,544554,25027,18354,121405,709340
SL040,340111,579333,1827,10827,19370,592898,1793,13104,19562,1172231,23931,3620,38932,1238714
SL040,340114,370530,935,4495,9125,383660,882,5954,9659,754190,10449,1817,18784,785240
SL040,340118,407269,2470,11967,27612,421486,2340,13887,25044,828755,25854,4810,52656,912075
SL040,340121,232519,1950,4646,18598,235435,1746,5046,19992,467954,9692,3696,38590,519932
SL040,340123,304124,680,3212,7533,311847,656,3790,6257,615971,7002,1336,13790,638099
SL040,340129,651604,8959,36793,107502,670467,8650,43945,113201,1322071,80738,17609,220703,1641121
SL040,340141,900681,2575,17289,28154,933611,2472,23012,32093,1834292,40301,5047,60247,1939887
SL040,340222,94651,1210,3724,11014,93923,1123,3857,9843,188574,7581,2333,20857,219345
SL040,340244,59347,924,1731,6058,57935,922,2036,5619,117282,3767,1846,11677,134572
SL040,340250,400397,6126,16494,43822,418415,5897,19526,44134,818812,36020,12023,87956,954811
SL040,340333,455458,1613,16619,17048,494199,1509,21884,19914,949657,38503,3122,36962,1028244
SL040,340407,430380,9310,34826,87287,429561,8863,41280,87401,859941,76106,18173,174688,1128908
SL040,340535,455865,4743,30809,61138,456396,4409,34627,61188,912261,65436,9152,122326,1109175
SL040,340538,397282,3788,40386,60021,406546,3623,45583,61281,803828,85969,7411,121302,1018510
SL040,340639,258008,1269,8850,13437,270679,1162,12034,14790,528687,20884,2431,28227,580229
SL040,340705,73284,616,1828,3810,71971,587,2274,4128,145255,4102,1203,7938,158498
SL040,340709,161166,1315,4669,11187,160067,1267,6251,11148,321233,10920,2582,22335,357070
SL040,340724,209855,916,6722,8153,220189,761,8487,8663,430044,15209,1677,16816,463746
SL040,340734,75935,327,1286,2775,76640,331,1886,2855,152575,3172,658,5630,162035
SL040,340737,151013,455,4280,5317,158229,434,5615,6130,309242,9895,889,11447,331473
SL040,340740,67206,1115,1864,6794,65701,1074,2431,7157,132907,4295,2189,13951,153342
SL040,340742,39458,327,1685,3330,38450,362,2034,2954,77908,3719,689,6284,88600
SL040,340747,235783,1258,5938,10377,246567,1170,8004,10754,482350,13942,2428,21131,519851
SL040,340749,82039,276,1504,2500,83121,242,2157,2710,165160,3661,518,5210,174549
SL040,340802,176978,1475,4338,11367,178041,1333,5668,9586,355019,10006,2808,20953,388786
SL040,340813,228406,1752,3640,12858,233628,1726,4552,12538,462034,8192,3478,25396,499100
SL040,340816,87351,1219,1576,8853,86531,1209,2058,8425,173882,3634,2428,17278,197222
SL040,340819,107566,2140,5616,13532,103544,1949,6575,13386,211110,12191,4089,26918,254308
SL040,340845,305028,4342,10055,26107,300300,4208,11536,25815,605328,21591,8550,51922,687391
SL040,340908,2204390,39033,151140,338903,2329865,36810,180174,329035,4534255,331314,75843,667938,5609350
SL040,340917,286730,9381,19166,65413,291822,8937,19509,60989,578552,38675,18318,126402,761947
SL040,340925,171095,4789,8066,35559,172942,4461,8109,27845,344037,16175,9250,63404,432866
SL040,340943,319341,8398,15426,53496,323319,8162,16872,50888,642660,32298,16560,104384,795902
SL040,341003,700653,13685,40187,156572,715597,13221,45480,153424,1416250,85667,26906,309996,1838819
SL040,341012,237376,5975,8596,34412,240352,5443,9231,35513,477728,17827,11418,69925,576898
SL040,341046,1072836,13112,51087,111892,1117697,12205,59690,109467,2190533,110777,25317,221359,2547986
SL040,341106,321838,912,3798,8088,326815,841,5115,8969,648653,8913,1753,17057,676376
SL040,341110,187017,641,3039,5922,189683,609,3911,5665,376700,6950,1250,11587,396487
SL040,341215,494501,865,25884,15387,533770,780,30713,17451,1028271,56597,1645,32838,1119351
SL040,341227,148871,453,4907,6416,157735,472,6416,6057,306606,11323,925,12473,331327
SL040,341232,132424,342,9582,6078,142496,286,11527,6558,274920,21109,628,12636,309293
