SUMLEV,Geo,CED_V78,CED_V81,CED_V84,CED_V87,CED_V90,CED_V93,CED_V96,CED_V99,CED_V102,CED_V105,CED_V79,CED_V82,CED_V85,CED_V88,CED_V91,CED_V94,CED_V97,CED_V100,CED_V103,CED_V106,CED_V77,CED_V80,CED_V83,CED_V86,CED_V89,CED_V92,CED_V95,CED_V98,CED_V101,CED_V104,CED_V76
SL010,34,882698,146645,517590,175092,1088546,27437,109013,100151,40894,4062,913180,196432,382980,79248,1475402,31727,46365,115697,50077,3668,1795878,343077,900570,254340,2563948,59164,155378,215848,90971,7730,6386904
SL030,3401,139285,18405,93441,28382,82597,4157,5920,10560,4940,604,147701,30195,70837,7766,118079,4512,2669,12278,5198,575,286986,48600,164278,36148,200676,8669,8589,22838,10138,1179,788101
SL030,3402,28671,2207,13962,9812,22837,468,1904,2352,558,72,29678,3030,9501,4332,33999,489,820,2646,455,65,58349,5237,23463,14144,56836,957,2724,4998,1013,137,167858
SL030,3403,10291,1732,2317,1944,15478,433,378,651,316,127,11196,2300,1758,929,23712,452,158,869,320,104,21487,4032,4075,2873,39190,885,536,1520,636,231,75465
SL030,3404,39675,3784,15879,7139,46283,953,3647,2702,1799,252,45112,5320,11202,3394,55562,1149,1340,3014,2365,223,84787,9104,27081,10533,101845,2102,4987,5716,4164,475,250794
SL030,3405,68147,5439,14961,8384,82903,939,4324,5149,1937,171,68929,7109,9243,4905,100260,1014,2926,5570,2574,149,137076,12548,24204,13289,183163,1953,7250,10719,4511,320,395033
SL030,3406,5682,2145,1419,1266,10334,264,286,550,245,96,5451,2692,972,621,15644,319,98,680,275,72,11133,4837,2391,1887,25978,583,384,1230,520,168,49111
SL030,3407,34628,3180,12219,2834,26851,581,1190,1807,632,97,33872,3964,9296,1631,41993,845,716,2585,649,87,68500,7144,21515,4465,68844,1426,1906,4392,1281,184,179657
SL030,3408,37549,3185,19276,4233,28795,483,1173,2658,515,75,36435,3830,13679,1889,39661,531,663,2918,466,67,73984,7015,32955,6122,68456,1014,1836,5576,981,142,198081
SL030,3409,129587,36517,130622,51280,238485,6004,55573,26719,11556,826,130163,48232,99630,19530,319776,6530,23047,31461,14399,653,259750,84749,230252,70810,558261,12534,78620,58180,25955,1479,1380590
SL030,3410,159351,29553,62290,14060,104630,2375,15401,11191,3510,385,165481,37074,44507,6813,134718,2560,5460,12302,3533,357,324832,66627,106797,20873,239348,4935,20861,23493,7043,742,815551
SL030,3411,8686,600,4831,560,4759,147,288,783,173,20,8373,757,3915,330,8786,207,108,1040,131,13,17059,1357,8746,890,13545,354,396,1823,304,33,44507
SL030,3412,30392,9644,5176,5054,48770,1292,586,1445,1016,178,29133,10076,3803,2449,68199,1583,254,2049,686,178,59525,19720,8979,7503,116969,2875,840,3494,1702,356,221963
SL030,3413,127418,19148,51983,19419,277672,7647,9989,27909,12049,815,139990,27078,42467,14840,377611,9521,4372,31456,17151,812,267408,46226,94450,34259,655283,17168,14361,59365,29200,1627,1219347
SL030,3414,25149,4476,44603,6519,35578,348,1883,1805,372,45,25545,6493,27384,1685,41427,418,666,1863,325,37,50694,10969,71987,8204,77005,766,2549,3668,697,82,226621
