SUMLEV,Geo,sexo,PAISNAC,pob
SL050,34195252001,9,228,18699
SL050,34195252001,6,228,9667
SL050,34195252001,1,228,9032
SL050,34185151001,9,228,9651
SL050,34185151001,6,228,4830
SL050,34185151001,1,228,4821
SL050,34172626183,9,345,5
SL050,34172626183,6,345,3
SL050,34172626183,1,345,2
SL050,34172626180,9,104,2
SL050,34172626180,6,303,2
SL050,34172626180,1,104,1
SL050,34172626178,9,125,1
SL050,34172626178,6,125,1
SL050,34172626178,1,228,1
SL050,34172626177,9,341,6
SL050,34172626177,6,341,4
SL050,34172626177,1,344,3
SL050,34172626176,9,342,2
SL050,34172626176,6,342,2
SL050,34172626175,9,132,1
SL050,34172626175,1,132,1
SL050,34172626174,9,135,1
SL050,34172626174,1,135,1
SL050,34172626172,9,228,1
SL050,34172626172,6,228,1
SL050,34172626171,9,326,2
SL050,34172626171,6,326,2
SL050,34172626171,1,426,1
SL050,34172626170,9,228,53
SL050,34172626170,6,228,26
SL050,34172626170,1,228,27
SL050,34172626168,9,128,290
SL050,34172626168,6,128,158
SL050,34172626168,1,128,132
SL050,34172626167,9,128,7
SL050,34172626167,6,128,2
SL050,34172626167,1,128,5
SL050,34172626166,9,123,3
SL050,34172626166,6,123,3
SL050,34172626165,9,128,4
SL050,34172626165,6,128,2
SL050,34172626165,1,347,3
SL050,34172626164,9,228,4
SL050,34172626164,6,228,3
SL050,34172626164,1,228,1
SL050,34172626163,9,102,1
SL050,34172626163,6,102,1
SL050,34172626163,1,110,1
SL050,34172626162,9,128,2
SL050,34172626162,6,110,1
SL050,34172626162,1,128,2
SL050,34172626160,9,228,25
SL050,34172626160,6,228,11
SL050,34172626160,1,123,14
SL050,34172626158,9,123,23
SL050,34172626158,6,123,10
SL050,34172626158,1,123,13
SL050,34172626157,9,128,9
SL050,34172626157,6,128,6
SL050,34172626157,1,128,3
SL050,34172626155,9,343,4
SL050,34172626155,6,343,2
SL050,34172626155,1,343,2
SL050,34172626151,9,128,16
SL050,34172626151,6,128,11
SL050,34172626151,1,128,5
SL050,34172626150,9,123,9
SL050,34172626150,6,123,4
SL050,34172626150,1,123,5
SL050,34172626148,9,123,5
SL050,34172626148,6,104,2
SL050,34172626148,1,123,3
SL050,34172626147,9,344,1
SL050,34172626147,1,344,1
SL050,34172626145,9,348,17
SL050,34172626145,6,348,9
SL050,34172626145,1,348,8
SL050,34172626144,9,123,15
SL050,34172626144,6,123,6
SL050,34172626144,1,123,9
SL050,34172626143,9,340,10
SL050,34172626143,6,343,6
SL050,34172626143,1,340,5
SL050,34172626142,9,123,56
SL050,34172626142,6,123,24
SL050,34172626142,1,123,32
SL050,34172626141,9,128,2
SL050,34172626141,6,123,1
SL050,34172626141,1,110,1
SL050,34172626140,9,228,5
SL050,34172626140,6,228,3
SL050,34172626140,1,123,2
SL050,34172626139,9,137,1
SL050,34172626139,6,137,1
SL050,34172626138,9,228,287
SL050,34172626138,6,228,108
SL050,34172626138,1,228,179
SL050,34172626136,9,128,4
SL050,34172626136,6,122,1
SL050,34172626136,1,128,3
SL050,34172626135,9,110,3
SL050,34172626135,6,110,1
SL050,34172626135,1,110,2
SL050,34172626134,9,123,5
SL050,34172626134,6,123,2
SL050,34172626134,1,123,3
SL050,34172626132,9,104,10
SL050,34172626132,6,104,3
SL050,34172626132,1,104,7
SL050,34172626130,9,228,7
SL050,34172626130,6,125,1
SL050,34172626130,1,228,6
SL050,34172626129,9,104,13
SL050,34172626129,6,104,7
SL050,34172626129,1,104,6
SL050,34172626128,9,341,7
SL050,34172626128,6,341,2
SL050,34172626128,1,341,5
SL050,34172626127,9,123,18
SL050,34172626127,6,123,10
SL050,34172626127,1,123,8
SL050,34172626125,9,228,299
SL050,34172626125,6,228,128
SL050,34172626125,1,228,171
SL050,34172626124,9,128,22
SL050,34172626124,6,128,15
SL050,34172626124,1,128,7
SL050,34172626123,9,128,5
SL050,34172626123,6,128,1
SL050,34172626123,1,128,4
SL050,34172626122,9,122,4
SL050,34172626122,6,128,2
SL050,34172626122,1,122,3
SL050,34172626121,9,343,1
SL050,34172626121,1,343,1
SL050,34172626120,9,228,201
SL050,34172626120,6,228,86
SL050,34172626120,1,228,115
SL050,34172626119,9,128,7
SL050,34172626119,6,228,2
SL050,34172626119,1,128,6
SL050,34172626118,9,344,2
SL050,34172626118,6,110,1
SL050,34172626118,1,340,1
SL050,34172626117,9,128,864
SL050,34172626117,6,128,432
SL050,34172626117,1,128,432
SL050,34172626112,9,115,3
SL050,34172626112,6,228,2
SL050,34172626112,1,115,2
SL050,34172626111,9,123,5
SL050,34172626111,6,123,4
SL050,34172626111,1,123,1
SL050,34172626110,9,426,17
SL050,34172626110,6,426,4
SL050,34172626110,1,426,13
SL050,34172626109,9,123,5
SL050,34172626109,6,123,3
SL050,34172626109,1,123,2
SL050,34172626108,9,128,6
SL050,34172626108,6,128,3
SL050,34172626108,1,128,3
SL050,34172626106,9,228,1
SL050,34172626106,1,228,1
SL050,34172626105,9,228,51
SL050,34172626105,6,128,23
SL050,34172626105,1,228,28
SL050,34172626104,9,228,2
SL050,34172626104,6,228,2
SL050,34172626104,1,345,1
SL050,34172626103,9,228,14
SL050,34172626103,6,343,9
SL050,34172626103,1,228,7
SL050,34172626102,9,128,333
SL050,34172626102,6,128,188
SL050,34172626102,1,128,145
SL050,34172626101,9,128,1
SL050,34172626101,6,342,1
SL050,34172626101,1,128,1
SL050,34172626100,9,315,2
SL050,34172626100,6,315,2
SL050,34172626100,1,138,1
SL050,34172626099,9,228,78
SL050,34172626099,6,228,33
SL050,34172626099,1,228,45
SL050,34172626098,9,315,9
SL050,34172626098,6,315,5
SL050,34172626098,1,315,4
SL050,34172626096,9,123,4
SL050,34172626096,6,123,2
SL050,34172626096,1,123,2
SL050,34172626095,9,319,2
SL050,34172626095,6,319,2
SL050,34172626095,1,343,1
SL050,34172626094,9,228,1
SL050,34172626094,6,228,1
SL050,34172626093,9,154,1
SL050,34172626093,6,341,1
SL050,34172626093,1,154,1
SL050,34172626092,9,123,3
SL050,34172626092,6,123,1
SL050,34172626092,1,123,2
SL050,34172626091,9,351,3
SL050,34172626091,6,351,1
SL050,34172626091,1,351,2
SL050,34172626089,9,128,4701
SL050,34172626089,6,128,2577
SL050,34172626089,1,128,2124
SL050,34172626087,9,128,17
SL050,34172626087,6,128,9
SL050,34172626087,1,128,8
SL050,34172626084,9,128,612
SL050,34172626084,6,128,322
SL050,34172626084,1,128,290
SL050,34172626083,9,128,10
SL050,34172626083,6,128,6
SL050,34172626083,1,128,4
SL050,34172626082,9,128,1
SL050,34172626082,6,128,1
SL050,34172626081,9,123,1
SL050,34172626081,6,128,1
SL050,34172626081,1,123,1
SL050,34172626080,9,228,57
SL050,34172626080,6,228,13
SL050,34172626080,1,228,44
SL050,34172626079,9,228,41
SL050,34172626079,6,228,20
SL050,34172626079,1,228,21
SL050,34172626078,9,104,3
SL050,34172626078,6,343,1
SL050,34172626078,1,104,3
SL050,34172626076,9,123,5
SL050,34172626076,6,123,1
SL050,34172626076,1,123,4
SL050,34172626075,9,228,32
SL050,34172626075,6,228,14
SL050,34172626075,1,228,18
SL050,34172626074,9,113,1
SL050,34172626074,1,113,1
SL050,34172626073,9,321,4
SL050,34172626073,6,321,3
SL050,34172626073,1,341,2
SL050,34172626072,9,110,4
SL050,34172626072,6,110,2
SL050,34172626072,1,228,3
SL050,34172626071,9,128,214
SL050,34172626071,6,128,125
SL050,34172626071,1,228,99
SL050,34172626070,9,128,7
SL050,34172626070,6,128,4
SL050,34172626070,1,128,3
SL050,34172626069,9,128,10
SL050,34172626069,6,128,5
SL050,34172626069,1,128,5
SL050,34172626068,9,128,8
SL050,34172626068,6,128,4
SL050,34172626068,1,128,4
SL050,34172626066,9,128,27
SL050,34172626066,6,128,12
SL050,34172626066,1,128,15
SL050,34172626065,9,123,4
SL050,34172626065,6,123,3
SL050,34172626065,1,123,1
SL050,34172626064,9,123,78
SL050,34172626064,6,128,34
SL050,34172626064,1,123,54
SL050,34172626063,9,123,9
SL050,34172626063,6,123,3
SL050,34172626063,1,123,6
SL050,34172626061,9,426,105
SL050,34172626061,6,128,43
SL050,34172626061,1,426,62
SL050,34172626060,9,123,11
SL050,34172626060,6,123,3
SL050,34172626060,1,123,8
SL050,34172626059,9,228,92
SL050,34172626059,6,228,37
SL050,34172626059,1,228,55
SL050,34172626058,9,128,6
SL050,34172626058,6,128,2
SL050,34172626058,1,128,4
SL050,34172626056,9,123,22
SL050,34172626056,6,123,10
SL050,34172626056,1,123,12
SL050,34172626055,9,341,1
SL050,34172626055,6,341,1
SL050,34172626054,9,345,2
SL050,34172626054,6,128,1
SL050,34172626054,1,110,1
SL050,34172626053,9,128,18
SL050,34172626053,6,128,9
SL050,34172626053,1,128,9
SL050,34172626052,9,128,3
SL050,34172626052,6,128,3
SL050,34172626052,1,126,1
SL050,34172626051,9,340,7
SL050,34172626051,6,128,4
SL050,34172626051,1,340,6
SL050,34172626050,9,342,5
SL050,34172626050,6,342,4
SL050,34172626050,1,110,2
SL050,34172626049,9,123,9
SL050,34172626049,6,123,3
SL050,34172626049,1,123,6
SL050,34172626047,9,345,50
SL050,34172626047,6,345,30
SL050,34172626047,1,228,23
SL050,34172626046,9,123,81
SL050,34172626046,6,123,36
SL050,34172626046,1,123,45
SL050,34172626044,9,128,6
SL050,34172626044,6,128,2
SL050,34172626044,1,128,4
SL050,34172626043,9,123,13
SL050,34172626043,6,123,6
SL050,34172626043,1,123,7
SL050,34172626042,9,123,72
SL050,34172626042,6,123,27
SL050,34172626042,1,123,45
SL050,34172626041,9,228,10
SL050,34172626041,6,123,2
SL050,34172626041,1,228,9
SL050,34172626040,9,426,13
SL050,34172626040,6,426,5
SL050,34172626040,1,426,8
SL050,34172626039,9,228,1
SL050,34172626039,1,228,1
SL050,34172626038,9,321,1
SL050,34172626038,6,341,1
SL050,34172626038,1,321,1
SL050,34172626037,9,340,9
SL050,34172626037,6,340,4
SL050,34172626037,1,340,5
SL050,34172626036,9,228,995
SL050,34172626036,6,343,484
SL050,34172626036,1,228,548
SL050,34172626034,9,123,13
SL050,34172626034,6,341,5
SL050,34172626034,1,123,9
SL050,34172626033,9,110,1
SL050,34172626033,6,348,1
SL050,34172626033,1,110,1
SL050,34172626032,9,110,1
SL050,34172626032,6,110,1
SL050,34172626031,9,426,2
SL050,34172626031,6,426,1
SL050,34172626031,1,426,1
SL050,34172626030,9,227,1
SL050,34172626030,1,227,1
SL050,34172626029,9,121,1
SL050,34172626029,1,121,1
SL050,34172626028,9,128,3
SL050,34172626028,6,128,1
SL050,34172626028,1,128,2
SL050,34172626027,9,123,3
SL050,34172626027,6,128,2
SL050,34172626027,1,123,2
SL050,34172626026,9,228,35
SL050,34172626026,6,228,14
SL050,34172626026,1,228,21
SL050,34172626025,9,343,2
SL050,34172626025,6,343,2
SL050,34172626024,9,123,5
SL050,34172626024,6,123,2
SL050,34172626024,1,123,3
SL050,34172626023,9,228,17
SL050,34172626023,6,228,7
SL050,34172626023,1,228,10
SL050,34172626022,9,228,3
SL050,34172626022,6,326,2
SL050,34172626022,1,228,2
SL050,34172626021,9,228,396
SL050,34172626021,6,228,185
SL050,34172626021,1,228,211
SL050,34172626020,9,128,147
SL050,34172626020,6,128,69
SL050,34172626020,1,128,78
SL050,34172626019,9,128,50
SL050,34172626019,6,128,23
SL050,34172626019,1,128,27
SL050,34172626018,9,139,586
SL050,34172626018,6,139,269
SL050,34172626018,1,139,317
SL050,34172626017,9,139,6
SL050,34172626017,6,139,5
SL050,34172626017,1,315,2
SL050,34172626015,9,123,9
SL050,34172626015,6,123,5
SL050,34172626015,1,228,5
SL050,34172626014,9,115,3
SL050,34172626014,6,128,1
SL050,34172626014,1,115,3
SL050,34172626013,9,123,11
SL050,34172626013,6,123,5
SL050,34172626013,1,123,6
SL050,34172626012,9,115,1
SL050,34172626012,1,115,1
SL050,34172626011,9,228,495
SL050,34172626011,6,228,214
SL050,34172626011,1,228,281
SL050,34172626010,9,123,3
SL050,34172626010,6,128,2
SL050,34172626010,1,123,2
SL050,34172626009,9,228,18
SL050,34172626009,6,128,9
SL050,34172626009,1,228,9
SL050,34172626008,9,228,241
SL050,34172626008,6,128,94
SL050,34172626008,1,228,161
SL050,34172626007,9,123,38
SL050,34172626007,6,123,15
SL050,34172626007,1,123,23
SL050,34172626006,9,228,88
SL050,34172626006,6,228,46
SL050,34172626006,1,228,42
SL050,34172626005,9,128,163
SL050,34172626005,6,128,76
SL050,34172626005,1,128,87
SL050,34172626004,9,348,1
SL050,34172626004,6,348,1
SL050,34172626003,9,345,21
SL050,34172626003,6,122,11
SL050,34172626003,1,345,11
SL050,34172626002,9,128,51
